date,slot,JEPX_prediction,JEPX_actual,EPRX1_prediction,EPRX3_prediction,EPRX1_actual,EPRX3_actual,imbalance
2023/4/9,23,1.78,0.01,0,0,0,0,0.01
2023/4/9,24,1.67,0.01,0,0,0,0,0.01
2023/4/9,25,1.44,0.01,0,0,0,0,0.01
2023/4/9,26,1.12,0.01,0,0,0,0,0.01
2023/4/9,27,1.15,0.01,0,0,0,0,0.01
2023/4/9,28,1.01,0.01,0,0,0,0,0.01
2023/4/9,29,1.35,0.01,0,0,0,0,0.01
2023/4/9,30,1.78,0.01,0,0,0,0,0.01
2023/4/9,31,1.83,0.01,0,0,0,0,0.01
2023/4/9,32,1.65,0.01,0,0,0,0,0.01
2023/4/9,33,1.63,0.01,0,0,0,0,0.01
2023/4/9,34,2.37,0.01,0,0,0,0,0.01
2023/4/9,35,6.61,0.51,0,0,0,0,0.51
2023/4/9,36,13.57,11,0,0,0,0,11
2023/4/9,37,13.32,14.52,0,0,0,0,14.52
2023/4/9,38,13.18,15.97,0,0,0,0,15.97
2023/4/9,39,15.36,15,0,0,0,0,15
2023/4/9,40,15.21,15,0,0,0,0,15
2023/4/9,41,11.79,14.25,0,0,0,0,14.25
2023/4/9,42,12.05,14.01,0,0,0,0,14.01
2023/4/9,43,11.56,14.25,0,0,0,0,14.25
2023/4/9,44,12.05,13.93,0,0,0,0,13.93
2023/4/9,45,10.72,12.64,0,0,0,0,12.64
2023/4/9,46,10.59,11.35,0,0,0,0,11.35
2023/4/9,47,10.71,10.86,0,0,0,0,10.86
2023/4/9,48,10.52,9.39,0,0,0,0,9.39
2023/4/10,1,8.96,9.93,0,0,0,0,9.93
2023/4/10,2,8.69,9.86,0,0,0,0,9.86
2023/4/10,3,9,9.39,0,0,0,0,9.39
2023/4/10,4,8.03,9.4,0,0,0,0,9.4
2023/4/10,5,5.93,7,0,0,0,0,7
2023/4/10,6,8.64,8.5,0,0,0,0,8.5
2023/4/10,7,9.27,9.4,0,0,0,0,9.4
2023/4/10,8,8.03,10,0,0,0,0,10
2023/4/10,9,9.64,10.2,0,0,0,0,10.2
2023/4/10,10,10,10.34,0,0,0,0,10.34
2023/4/10,11,10.63,10.52,0,0,0,0,10.52
2023/4/10,12,10.43,11.06,0,0,0,0,11.06
2023/4/10,13,11.75,12,0,0,0,0,12
2023/4/10,14,10.28,9.39,0,0,0,0,9.39
2023/4/10,15,5.57,2.01,0,0,0,0,2.01
2023/4/10,16,4.3,0.01,0,0,0,0,0.01
2023/4/10,17,3.84,0.01,0,0,0,0,0.01
2023/4/10,18,3.43,0.01,0,0,0,0,0.01
2023/4/10,19,3.06,0.01,0,0,0,0,0.01
2023/4/10,20,3.23,0.01,0,0,0,0,0.01
2023/4/10,21,3.07,0.01,0,0,0,0,0.01
2023/4/10,22,3.11,0.01,0,0,0,0,0.01
2023/4/10,23,2.38,0.01,0,0,0,0,0.01
2023/4/10,24,2.01,0.01,0,0,0,0,0.01
2023/4/10,25,1.8,0.01,0,0,0,0,0.01
2023/4/10,26,1.45,0.01,0,0,0,0,0.01
2023/4/10,27,1.49,0.01,0,0,0,0,0.01
2023/4/10,28,1.1,0.01,0,0,0,0,0.01
2023/4/10,29,0.98,0.01,0,0,0,0,0.01
2023/4/10,30,1.86,0.01,0,0,0,0,0.01
